..\dataset\tracks\0.wav,..\dataset\masks\0.npy
..\dataset\tracks\4664.wav,..\dataset\masks\4664.npy
..\dataset\tracks\4665.wav,..\dataset\masks\4665.npy
..\dataset\tracks\4666.wav,..\dataset\masks\4666.npy
..\dataset\tracks\4667.wav,..\dataset\masks\4667.npy
..\dataset\tracks\4668.wav,..\dataset\masks\4668.npy
..\dataset\tracks\4669.wav,..\dataset\masks\4669.npy
..\dataset\tracks\467.wav,..\dataset\masks\467.npy
..\dataset\tracks\4670.wav,..\dataset\masks\4670.npy
..\dataset\tracks\4671.wav,..\dataset\masks\4671.npy
..\dataset\tracks\4672.wav,..\dataset\masks\4672.npy
..\dataset\tracks\4673.wav,..\dataset\masks\4673.npy
..\dataset\tracks\4674.wav,..\dataset\masks\4674.npy
..\dataset\tracks\4675.wav,..\dataset\masks\4675.npy
..\dataset\tracks\4676.wav,..\dataset\masks\4676.npy
..\dataset\tracks\4677.wav,..\dataset\masks\4677.npy
..\dataset\tracks\4678.wav,..\dataset\masks\4678.npy
..\dataset\tracks\4679.wav,..\dataset\masks\4679.npy
..\dataset\tracks\468.wav,..\dataset\masks\468.npy
..\dataset\tracks\4680.wav,..\dataset\masks\4680.npy
..\dataset\tracks\4681.wav,..\dataset\masks\4681.npy
..\dataset\tracks\4682.wav,..\dataset\masks\4682.npy
..\dataset\tracks\4683.wav,..\dataset\masks\4683.npy
..\dataset\tracks\4684.wav,..\dataset\masks\4684.npy
..\dataset\tracks\4685.wav,..\dataset\masks\4685.npy
..\dataset\tracks\4686.wav,..\dataset\masks\4686.npy
..\dataset\tracks\4687.wav,..\dataset\masks\4687.npy
..\dataset\tracks\4688.wav,..\dataset\masks\4688.npy
..\dataset\tracks\4689.wav,..\dataset\masks\4689.npy
..\dataset\tracks\469.wav,..\dataset\masks\469.npy
..\dataset\tracks\4690.wav,..\dataset\masks\4690.npy
..\dataset\tracks\4691.wav,..\dataset\masks\4691.npy
..\dataset\tracks\4692.wav,..\dataset\masks\4692.npy
..\dataset\tracks\4693.wav,..\dataset\masks\4693.npy
..\dataset\tracks\4694.wav,..\dataset\masks\4694.npy
..\dataset\tracks\4695.wav,..\dataset\masks\4695.npy
..\dataset\tracks\4696.wav,..\dataset\masks\4696.npy
..\dataset\tracks\4697.wav,..\dataset\masks\4697.npy
..\dataset\tracks\4698.wav,..\dataset\masks\4698.npy
..\dataset\tracks\4699.wav,..\dataset\masks\4699.npy
..\dataset\tracks\47.wav,..\dataset\masks\47.npy
..\dataset\tracks\470.wav,..\dataset\masks\470.npy
..\dataset\tracks\4700.wav,..\dataset\masks\4700.npy
..\dataset\tracks\4701.wav,..\dataset\masks\4701.npy
..\dataset\tracks\4702.wav,..\dataset\masks\4702.npy
..\dataset\tracks\4703.wav,..\dataset\masks\4703.npy
..\dataset\tracks\4704.wav,..\dataset\masks\4704.npy
..\dataset\tracks\4705.wav,..\dataset\masks\4705.npy
..\dataset\tracks\4706.wav,..\dataset\masks\4706.npy
..\dataset\tracks\4707.wav,..\dataset\masks\4707.npy
..\dataset\tracks\4708.wav,..\dataset\masks\4708.npy
..\dataset\tracks\4709.wav,..\dataset\masks\4709.npy
..\dataset\tracks\471.wav,..\dataset\masks\471.npy
..\dataset\tracks\4710.wav,..\dataset\masks\4710.npy
..\dataset\tracks\4711.wav,..\dataset\masks\4711.npy
..\dataset\tracks\4712.wav,..\dataset\masks\4712.npy
..\dataset\tracks\4713.wav,..\dataset\masks\4713.npy
..\dataset\tracks\4714.wav,..\dataset\masks\4714.npy
..\dataset\tracks\4715.wav,..\dataset\masks\4715.npy
..\dataset\tracks\4716.wav,..\dataset\masks\4716.npy
..\dataset\tracks\4717.wav,..\dataset\masks\4717.npy
..\dataset\tracks\4718.wav,..\dataset\masks\4718.npy
..\dataset\tracks\4719.wav,..\dataset\masks\4719.npy
..\dataset\tracks\472.wav,..\dataset\masks\472.npy
..\dataset\tracks\4720.wav,..\dataset\masks\4720.npy
..\dataset\tracks\4721.wav,..\dataset\masks\4721.npy
..\dataset\tracks\4722.wav,..\dataset\masks\4722.npy
..\dataset\tracks\4723.wav,..\dataset\masks\4723.npy
..\dataset\tracks\4724.wav,..\dataset\masks\4724.npy
..\dataset\tracks\4725.wav,..\dataset\masks\4725.npy
..\dataset\tracks\4726.wav,..\dataset\masks\4726.npy
..\dataset\tracks\4727.wav,..\dataset\masks\4727.npy
..\dataset\tracks\4728.wav,..\dataset\masks\4728.npy
..\dataset\tracks\4729.wav,..\dataset\masks\4729.npy
..\dataset\tracks\473.wav,..\dataset\masks\473.npy
..\dataset\tracks\4730.wav,..\dataset\masks\4730.npy
..\dataset\tracks\4731.wav,..\dataset\masks\4731.npy
..\dataset\tracks\4732.wav,..\dataset\masks\4732.npy
..\dataset\tracks\4733.wav,..\dataset\masks\4733.npy
..\dataset\tracks\4734.wav,..\dataset\masks\4734.npy
..\dataset\tracks\4735.wav,..\dataset\masks\4735.npy
..\dataset\tracks\4736.wav,..\dataset\masks\4736.npy
..\dataset\tracks\4737.wav,..\dataset\masks\4737.npy
..\dataset\tracks\4738.wav,..\dataset\masks\4738.npy
..\dataset\tracks\4739.wav,..\dataset\masks\4739.npy
..\dataset\tracks\474.wav,..\dataset\masks\474.npy
..\dataset\tracks\4740.wav,..\dataset\masks\4740.npy
..\dataset\tracks\4741.wav,..\dataset\masks\4741.npy
..\dataset\tracks\4742.wav,..\dataset\masks\4742.npy
..\dataset\tracks\4743.wav,..\dataset\masks\4743.npy
..\dataset\tracks\4744.wav,..\dataset\masks\4744.npy
..\dataset\tracks\4745.wav,..\dataset\masks\4745.npy
..\dataset\tracks\4746.wav,..\dataset\masks\4746.npy
..\dataset\tracks\4747.wav,..\dataset\masks\4747.npy
..\dataset\tracks\4748.wav,..\dataset\masks\4748.npy
..\dataset\tracks\4749.wav,..\dataset\masks\4749.npy
..\dataset\tracks\475.wav,..\dataset\masks\475.npy
..\dataset\tracks\4750.wav,..\dataset\masks\4750.npy
..\dataset\tracks\4751.wav,..\dataset\masks\4751.npy
..\dataset\tracks\4752.wav,..\dataset\masks\4752.npy
..\dataset\tracks\4753.wav,..\dataset\masks\4753.npy
..\dataset\tracks\4754.wav,..\dataset\masks\4754.npy
..\dataset\tracks\4755.wav,..\dataset\masks\4755.npy
..\dataset\tracks\4756.wav,..\dataset\masks\4756.npy
..\dataset\tracks\4757.wav,..\dataset\masks\4757.npy
..\dataset\tracks\4758.wav,..\dataset\masks\4758.npy
..\dataset\tracks\4759.wav,..\dataset\masks\4759.npy
..\dataset\tracks\476.wav,..\dataset\masks\476.npy
..\dataset\tracks\4760.wav,..\dataset\masks\4760.npy
..\dataset\tracks\4761.wav,..\dataset\masks\4761.npy
..\dataset\tracks\4762.wav,..\dataset\masks\4762.npy
..\dataset\tracks\4763.wav,..\dataset\masks\4763.npy
..\dataset\tracks\4764.wav,..\dataset\masks\4764.npy
..\dataset\tracks\4765.wav,..\dataset\masks\4765.npy
..\dataset\tracks\4766.wav,..\dataset\masks\4766.npy
..\dataset\tracks\4767.wav,..\dataset\masks\4767.npy
..\dataset\tracks\4768.wav,..\dataset\masks\4768.npy
..\dataset\tracks\4769.wav,..\dataset\masks\4769.npy
..\dataset\tracks\477.wav,..\dataset\masks\477.npy
..\dataset\tracks\4770.wav,..\dataset\masks\4770.npy
..\dataset\tracks\4771.wav,..\dataset\masks\4771.npy
..\dataset\tracks\4772.wav,..\dataset\masks\4772.npy
..\dataset\tracks\4773.wav,..\dataset\masks\4773.npy
..\dataset\tracks\4774.wav,..\dataset\masks\4774.npy
..\dataset\tracks\4775.wav,..\dataset\masks\4775.npy
..\dataset\tracks\4776.wav,..\dataset\masks\4776.npy
..\dataset\tracks\4777.wav,..\dataset\masks\4777.npy
..\dataset\tracks\4778.wav,..\dataset\masks\4778.npy
..\dataset\tracks\4779.wav,..\dataset\masks\4779.npy
..\dataset\tracks\478.wav,..\dataset\masks\478.npy
..\dataset\tracks\4780.wav,..\dataset\masks\4780.npy
..\dataset\tracks\4781.wav,..\dataset\masks\4781.npy
..\dataset\tracks\4782.wav,..\dataset\masks\4782.npy
..\dataset\tracks\4783.wav,..\dataset\masks\4783.npy
..\dataset\tracks\4784.wav,..\dataset\masks\4784.npy
..\dataset\tracks\4785.wav,..\dataset\masks\4785.npy
..\dataset\tracks\4786.wav,..\dataset\masks\4786.npy
..\dataset\tracks\4787.wav,..\dataset\masks\4787.npy
..\dataset\tracks\4788.wav,..\dataset\masks\4788.npy
..\dataset\tracks\4789.wav,..\dataset\masks\4789.npy
..\dataset\tracks\479.wav,..\dataset\masks\479.npy
..\dataset\tracks\4790.wav,..\dataset\masks\4790.npy
..\dataset\tracks\4791.wav,..\dataset\masks\4791.npy
..\dataset\tracks\4792.wav,..\dataset\masks\4792.npy
..\dataset\tracks\4793.wav,..\dataset\masks\4793.npy
..\dataset\tracks\4794.wav,..\dataset\masks\4794.npy
..\dataset\tracks\4795.wav,..\dataset\masks\4795.npy
..\dataset\tracks\4796.wav,..\dataset\masks\4796.npy
..\dataset\tracks\4797.wav,..\dataset\masks\4797.npy
..\dataset\tracks\4798.wav,..\dataset\masks\4798.npy
..\dataset\tracks\4799.wav,..\dataset\masks\4799.npy
..\dataset\tracks\48.wav,..\dataset\masks\48.npy
..\dataset\tracks\480.wav,..\dataset\masks\480.npy
..\dataset\tracks\4800.wav,..\dataset\masks\4800.npy
..\dataset\tracks\4801.wav,..\dataset\masks\4801.npy
..\dataset\tracks\4802.wav,..\dataset\masks\4802.npy
..\dataset\tracks\4803.wav,..\dataset\masks\4803.npy
..\dataset\tracks\4804.wav,..\dataset\masks\4804.npy
..\dataset\tracks\4805.wav,..\dataset\masks\4805.npy
..\dataset\tracks\4806.wav,..\dataset\masks\4806.npy
..\dataset\tracks\4807.wav,..\dataset\masks\4807.npy
..\dataset\tracks\4808.wav,..\dataset\masks\4808.npy
..\dataset\tracks\4809.wav,..\dataset\masks\4809.npy
..\dataset\tracks\481.wav,..\dataset\masks\481.npy
..\dataset\tracks\4810.wav,..\dataset\masks\4810.npy
..\dataset\tracks\4811.wav,..\dataset\masks\4811.npy
..\dataset\tracks\4812.wav,..\dataset\masks\4812.npy
..\dataset\tracks\4813.wav,..\dataset\masks\4813.npy
..\dataset\tracks\4814.wav,..\dataset\masks\4814.npy
..\dataset\tracks\4815.wav,..\dataset\masks\4815.npy
..\dataset\tracks\4816.wav,..\dataset\masks\4816.npy
..\dataset\tracks\4817.wav,..\dataset\masks\4817.npy
..\dataset\tracks\4818.wav,..\dataset\masks\4818.npy
..\dataset\tracks\4819.wav,..\dataset\masks\4819.npy
..\dataset\tracks\482.wav,..\dataset\masks\482.npy
..\dataset\tracks\4820.wav,..\dataset\masks\4820.npy
..\dataset\tracks\4821.wav,..\dataset\masks\4821.npy
..\dataset\tracks\4822.wav,..\dataset\masks\4822.npy
..\dataset\tracks\4823.wav,..\dataset\masks\4823.npy
..\dataset\tracks\4824.wav,..\dataset\masks\4824.npy
..\dataset\tracks\4825.wav,..\dataset\masks\4825.npy
..\dataset\tracks\4826.wav,..\dataset\masks\4826.npy
..\dataset\tracks\4827.wav,..\dataset\masks\4827.npy
..\dataset\tracks\4828.wav,..\dataset\masks\4828.npy
..\dataset\tracks\4829.wav,..\dataset\masks\4829.npy
..\dataset\tracks\483.wav,..\dataset\masks\483.npy
..\dataset\tracks\4830.wav,..\dataset\masks\4830.npy
..\dataset\tracks\4831.wav,..\dataset\masks\4831.npy
..\dataset\tracks\4832.wav,..\dataset\masks\4832.npy
..\dataset\tracks\4833.wav,..\dataset\masks\4833.npy
..\dataset\tracks\4834.wav,..\dataset\masks\4834.npy
..\dataset\tracks\4835.wav,..\dataset\masks\4835.npy
..\dataset\tracks\4836.wav,..\dataset\masks\4836.npy
..\dataset\tracks\4837.wav,..\dataset\masks\4837.npy
..\dataset\tracks\4838.wav,..\dataset\masks\4838.npy
..\dataset\tracks\4839.wav,..\dataset\masks\4839.npy
..\dataset\tracks\484.wav,..\dataset\masks\484.npy
..\dataset\tracks\4840.wav,..\dataset\masks\4840.npy
..\dataset\tracks\4841.wav,..\dataset\masks\4841.npy
..\dataset\tracks\4842.wav,..\dataset\masks\4842.npy
..\dataset\tracks\4843.wav,..\dataset\masks\4843.npy
..\dataset\tracks\4844.wav,..\dataset\masks\4844.npy
..\dataset\tracks\4845.wav,..\dataset\masks\4845.npy
..\dataset\tracks\4846.wav,..\dataset\masks\4846.npy
..\dataset\tracks\4847.wav,..\dataset\masks\4847.npy
..\dataset\tracks\4848.wav,..\dataset\masks\4848.npy
..\dataset\tracks\4849.wav,..\dataset\masks\4849.npy
..\dataset\tracks\485.wav,..\dataset\masks\485.npy
..\dataset\tracks\4850.wav,..\dataset\masks\4850.npy
..\dataset\tracks\4851.wav,..\dataset\masks\4851.npy
..\dataset\tracks\4852.wav,..\dataset\masks\4852.npy
..\dataset\tracks\4853.wav,..\dataset\masks\4853.npy
..\dataset\tracks\4854.wav,..\dataset\masks\4854.npy
..\dataset\tracks\4855.wav,..\dataset\masks\4855.npy
..\dataset\tracks\4856.wav,..\dataset\masks\4856.npy
..\dataset\tracks\4857.wav,..\dataset\masks\4857.npy
..\dataset\tracks\4858.wav,..\dataset\masks\4858.npy
..\dataset\tracks\4859.wav,..\dataset\masks\4859.npy
..\dataset\tracks\486.wav,..\dataset\masks\486.npy
..\dataset\tracks\4860.wav,..\dataset\masks\4860.npy
..\dataset\tracks\4861.wav,..\dataset\masks\4861.npy
..\dataset\tracks\4862.wav,..\dataset\masks\4862.npy
..\dataset\tracks\4863.wav,..\dataset\masks\4863.npy
..\dataset\tracks\4864.wav,..\dataset\masks\4864.npy
..\dataset\tracks\4865.wav,..\dataset\masks\4865.npy
..\dataset\tracks\4866.wav,..\dataset\masks\4866.npy
..\dataset\tracks\4867.wav,..\dataset\masks\4867.npy
..\dataset\tracks\4868.wav,..\dataset\masks\4868.npy
..\dataset\tracks\4869.wav,..\dataset\masks\4869.npy
..\dataset\tracks\487.wav,..\dataset\masks\487.npy
..\dataset\tracks\4870.wav,..\dataset\masks\4870.npy
..\dataset\tracks\4871.wav,..\dataset\masks\4871.npy
..\dataset\tracks\4872.wav,..\dataset\masks\4872.npy
..\dataset\tracks\4873.wav,..\dataset\masks\4873.npy
..\dataset\tracks\4874.wav,..\dataset\masks\4874.npy
..\dataset\tracks\4875.wav,..\dataset\masks\4875.npy
..\dataset\tracks\4876.wav,..\dataset\masks\4876.npy
..\dataset\tracks\4877.wav,..\dataset\masks\4877.npy
..\dataset\tracks\4878.wav,..\dataset\masks\4878.npy
..\dataset\tracks\4879.wav,..\dataset\masks\4879.npy
..\dataset\tracks\488.wav,..\dataset\masks\488.npy
..\dataset\tracks\4880.wav,..\dataset\masks\4880.npy
..\dataset\tracks\4881.wav,..\dataset\masks\4881.npy
..\dataset\tracks\4882.wav,..\dataset\masks\4882.npy
..\dataset\tracks\4883.wav,..\dataset\masks\4883.npy
..\dataset\tracks\4884.wav,..\dataset\masks\4884.npy
..\dataset\tracks\4885.wav,..\dataset\masks\4885.npy
..\dataset\tracks\4886.wav,..\dataset\masks\4886.npy
..\dataset\tracks\4887.wav,..\dataset\masks\4887.npy
..\dataset\tracks\4888.wav,..\dataset\masks\4888.npy
..\dataset\tracks\4889.wav,..\dataset\masks\4889.npy
..\dataset\tracks\489.wav,..\dataset\masks\489.npy
..\dataset\tracks\4890.wav,..\dataset\masks\4890.npy
..\dataset\tracks\4891.wav,..\dataset\masks\4891.npy
..\dataset\tracks\4892.wav,..\dataset\masks\4892.npy
..\dataset\tracks\4893.wav,..\dataset\masks\4893.npy
..\dataset\tracks\4894.wav,..\dataset\masks\4894.npy
..\dataset\tracks\4895.wav,..\dataset\masks\4895.npy
..\dataset\tracks\4896.wav,..\dataset\masks\4896.npy
..\dataset\tracks\4897.wav,..\dataset\masks\4897.npy
..\dataset\tracks\4898.wav,..\dataset\masks\4898.npy
..\dataset\tracks\4899.wav,..\dataset\masks\4899.npy
..\dataset\tracks\49.wav,..\dataset\masks\49.npy
..\dataset\tracks\490.wav,..\dataset\masks\490.npy
..\dataset\tracks\4900.wav,..\dataset\masks\4900.npy
..\dataset\tracks\4901.wav,..\dataset\masks\4901.npy
..\dataset\tracks\4902.wav,..\dataset\masks\4902.npy
..\dataset\tracks\4903.wav,..\dataset\masks\4903.npy
..\dataset\tracks\4904.wav,..\dataset\masks\4904.npy
..\dataset\tracks\4905.wav,..\dataset\masks\4905.npy
..\dataset\tracks\4906.wav,..\dataset\masks\4906.npy
..\dataset\tracks\4907.wav,..\dataset\masks\4907.npy
..\dataset\tracks\4908.wav,..\dataset\masks\4908.npy
..\dataset\tracks\4909.wav,..\dataset\masks\4909.npy
..\dataset\tracks\491.wav,..\dataset\masks\491.npy
..\dataset\tracks\4910.wav,..\dataset\masks\4910.npy
..\dataset\tracks\4911.wav,..\dataset\masks\4911.npy
..\dataset\tracks\4912.wav,..\dataset\masks\4912.npy
..\dataset\tracks\4913.wav,..\dataset\masks\4913.npy
..\dataset\tracks\4914.wav,..\dataset\masks\4914.npy
..\dataset\tracks\4915.wav,..\dataset\masks\4915.npy
..\dataset\tracks\4916.wav,..\dataset\masks\4916.npy
..\dataset\tracks\4917.wav,..\dataset\masks\4917.npy
..\dataset\tracks\4918.wav,..\dataset\masks\4918.npy
..\dataset\tracks\4919.wav,..\dataset\masks\4919.npy
..\dataset\tracks\492.wav,..\dataset\masks\492.npy
..\dataset\tracks\4920.wav,..\dataset\masks\4920.npy
..\dataset\tracks\4921.wav,..\dataset\masks\4921.npy
..\dataset\tracks\4922.wav,..\dataset\masks\4922.npy
..\dataset\tracks\4923.wav,..\dataset\masks\4923.npy
..\dataset\tracks\4924.wav,..\dataset\masks\4924.npy
..\dataset\tracks\4925.wav,..\dataset\masks\4925.npy
..\dataset\tracks\4926.wav,..\dataset\masks\4926.npy
..\dataset\tracks\4927.wav,..\dataset\masks\4927.npy
..\dataset\tracks\4928.wav,..\dataset\masks\4928.npy
..\dataset\tracks\4929.wav,..\dataset\masks\4929.npy
..\dataset\tracks\493.wav,..\dataset\masks\493.npy
..\dataset\tracks\4930.wav,..\dataset\masks\4930.npy
..\dataset\tracks\4931.wav,..\dataset\masks\4931.npy
..\dataset\tracks\4932.wav,..\dataset\masks\4932.npy
..\dataset\tracks\4933.wav,..\dataset\masks\4933.npy
..\dataset\tracks\4934.wav,..\dataset\masks\4934.npy
..\dataset\tracks\4935.wav,..\dataset\masks\4935.npy
..\dataset\tracks\4936.wav,..\dataset\masks\4936.npy
..\dataset\tracks\4937.wav,..\dataset\masks\4937.npy
..\dataset\tracks\4938.wav,..\dataset\masks\4938.npy
..\dataset\tracks\4939.wav,..\dataset\masks\4939.npy
..\dataset\tracks\494.wav,..\dataset\masks\494.npy
..\dataset\tracks\4940.wav,..\dataset\masks\4940.npy
..\dataset\tracks\4941.wav,..\dataset\masks\4941.npy
..\dataset\tracks\4942.wav,..\dataset\masks\4942.npy
..\dataset\tracks\4943.wav,..\dataset\masks\4943.npy
..\dataset\tracks\4944.wav,..\dataset\masks\4944.npy
..\dataset\tracks\4945.wav,..\dataset\masks\4945.npy
..\dataset\tracks\4946.wav,..\dataset\masks\4946.npy
..\dataset\tracks\4947.wav,..\dataset\masks\4947.npy
..\dataset\tracks\4948.wav,..\dataset\masks\4948.npy
..\dataset\tracks\4949.wav,..\dataset\masks\4949.npy
..\dataset\tracks\495.wav,..\dataset\masks\495.npy
..\dataset\tracks\4950.wav,..\dataset\masks\4950.npy
..\dataset\tracks\4951.wav,..\dataset\masks\4951.npy
..\dataset\tracks\4952.wav,..\dataset\masks\4952.npy
..\dataset\tracks\4953.wav,..\dataset\masks\4953.npy
..\dataset\tracks\4954.wav,..\dataset\masks\4954.npy
..\dataset\tracks\4955.wav,..\dataset\masks\4955.npy
..\dataset\tracks\4956.wav,..\dataset\masks\4956.npy
..\dataset\tracks\4957.wav,..\dataset\masks\4957.npy
..\dataset\tracks\4958.wav,..\dataset\masks\4958.npy
..\dataset\tracks\4959.wav,..\dataset\masks\4959.npy
..\dataset\tracks\496.wav,..\dataset\masks\496.npy
..\dataset\tracks\4960.wav,..\dataset\masks\4960.npy
..\dataset\tracks\4961.wav,..\dataset\masks\4961.npy
..\dataset\tracks\4962.wav,..\dataset\masks\4962.npy
..\dataset\tracks\4963.wav,..\dataset\masks\4963.npy
..\dataset\tracks\4964.wav,..\dataset\masks\4964.npy
..\dataset\tracks\4965.wav,..\dataset\masks\4965.npy
..\dataset\tracks\4966.wav,..\dataset\masks\4966.npy
..\dataset\tracks\4967.wav,..\dataset\masks\4967.npy
..\dataset\tracks\4968.wav,..\dataset\masks\4968.npy
..\dataset\tracks\4969.wav,..\dataset\masks\4969.npy
..\dataset\tracks\497.wav,..\dataset\masks\497.npy
..\dataset\tracks\4970.wav,..\dataset\masks\4970.npy
..\dataset\tracks\4971.wav,..\dataset\masks\4971.npy
..\dataset\tracks\4972.wav,..\dataset\masks\4972.npy
..\dataset\tracks\4973.wav,..\dataset\masks\4973.npy
..\dataset\tracks\4974.wav,..\dataset\masks\4974.npy
..\dataset\tracks\4975.wav,..\dataset\masks\4975.npy
..\dataset\tracks\4976.wav,..\dataset\masks\4976.npy
..\dataset\tracks\4977.wav,..\dataset\masks\4977.npy
..\dataset\tracks\4978.wav,..\dataset\masks\4978.npy
..\dataset\tracks\4979.wav,..\dataset\masks\4979.npy
..\dataset\tracks\498.wav,..\dataset\masks\498.npy
..\dataset\tracks\4980.wav,..\dataset\masks\4980.npy
..\dataset\tracks\4981.wav,..\dataset\masks\4981.npy
..\dataset\tracks\4982.wav,..\dataset\masks\4982.npy
..\dataset\tracks\4983.wav,..\dataset\masks\4983.npy
..\dataset\tracks\4984.wav,..\dataset\masks\4984.npy
..\dataset\tracks\4985.wav,..\dataset\masks\4985.npy
..\dataset\tracks\4986.wav,..\dataset\masks\4986.npy
..\dataset\tracks\4987.wav,..\dataset\masks\4987.npy
..\dataset\tracks\4988.wav,..\dataset\masks\4988.npy
..\dataset\tracks\4989.wav,..\dataset\masks\4989.npy
..\dataset\tracks\499.wav,..\dataset\masks\499.npy
..\dataset\tracks\4990.wav,..\dataset\masks\4990.npy
..\dataset\tracks\4991.wav,..\dataset\masks\4991.npy
..\dataset\tracks\4992.wav,..\dataset\masks\4992.npy
..\dataset\tracks\4993.wav,..\dataset\masks\4993.npy
..\dataset\tracks\4994.wav,..\dataset\masks\4994.npy
..\dataset\tracks\4995.wav,..\dataset\masks\4995.npy
..\dataset\tracks\4996.wav,..\dataset\masks\4996.npy
..\dataset\tracks\4997.wav,..\dataset\masks\4997.npy
..\dataset\tracks\4998.wav,..\dataset\masks\4998.npy
..\dataset\tracks\4999.wav,..\dataset\masks\4999.npy
..\dataset\tracks\5.wav,..\dataset\masks\5.npy
..\dataset\tracks\50.wav,..\dataset\masks\50.npy
..\dataset\tracks\500.wav,..\dataset\masks\500.npy
..\dataset\tracks\5000.wav,..\dataset\masks\5000.npy
..\dataset\tracks\5001.wav,..\dataset\masks\5001.npy
..\dataset\tracks\5002.wav,..\dataset\masks\5002.npy
..\dataset\tracks\5003.wav,..\dataset\masks\5003.npy
..\dataset\tracks\5004.wav,..\dataset\masks\5004.npy
..\dataset\tracks\5005.wav,..\dataset\masks\5005.npy
..\dataset\tracks\5006.wav,..\dataset\masks\5006.npy
..\dataset\tracks\5007.wav,..\dataset\masks\5007.npy
..\dataset\tracks\5008.wav,..\dataset\masks\5008.npy
..\dataset\tracks\5009.wav,..\dataset\masks\5009.npy
..\dataset\tracks\501.wav,..\dataset\masks\501.npy
..\dataset\tracks\5010.wav,..\dataset\masks\5010.npy
..\dataset\tracks\5011.wav,..\dataset\masks\5011.npy
..\dataset\tracks\5012.wav,..\dataset\masks\5012.npy
..\dataset\tracks\5013.wav,..\dataset\masks\5013.npy
..\dataset\tracks\5014.wav,..\dataset\masks\5014.npy
..\dataset\tracks\5015.wav,..\dataset\masks\5015.npy
..\dataset\tracks\5016.wav,..\dataset\masks\5016.npy
..\dataset\tracks\5017.wav,..\dataset\masks\5017.npy
..\dataset\tracks\5018.wav,..\dataset\masks\5018.npy
..\dataset\tracks\5019.wav,..\dataset\masks\5019.npy
..\dataset\tracks\502.wav,..\dataset\masks\502.npy
..\dataset\tracks\5020.wav,..\dataset\masks\5020.npy
..\dataset\tracks\5021.wav,..\dataset\masks\5021.npy
..\dataset\tracks\5022.wav,..\dataset\masks\5022.npy
..\dataset\tracks\5023.wav,..\dataset\masks\5023.npy
..\dataset\tracks\5024.wav,..\dataset\masks\5024.npy
..\dataset\tracks\5025.wav,..\dataset\masks\5025.npy
..\dataset\tracks\5026.wav,..\dataset\masks\5026.npy
..\dataset\tracks\5027.wav,..\dataset\masks\5027.npy
..\dataset\tracks\5028.wav,..\dataset\masks\5028.npy
..\dataset\tracks\5029.wav,..\dataset\masks\5029.npy
..\dataset\tracks\503.wav,..\dataset\masks\503.npy
..\dataset\tracks\5030.wav,..\dataset\masks\5030.npy
..\dataset\tracks\5031.wav,..\dataset\masks\5031.npy
..\dataset\tracks\5032.wav,..\dataset\masks\5032.npy
..\dataset\tracks\5033.wav,..\dataset\masks\5033.npy
..\dataset\tracks\5034.wav,..\dataset\masks\5034.npy
..\dataset\tracks\5035.wav,..\dataset\masks\5035.npy
..\dataset\tracks\5036.wav,..\dataset\masks\5036.npy
..\dataset\tracks\5037.wav,..\dataset\masks\5037.npy
..\dataset\tracks\5038.wav,..\dataset\masks\5038.npy
..\dataset\tracks\5039.wav,..\dataset\masks\5039.npy
..\dataset\tracks\504.wav,..\dataset\masks\504.npy
..\dataset\tracks\5040.wav,..\dataset\masks\5040.npy
..\dataset\tracks\5041.wav,..\dataset\masks\5041.npy
..\dataset\tracks\5042.wav,..\dataset\masks\5042.npy
..\dataset\tracks\5043.wav,..\dataset\masks\5043.npy
..\dataset\tracks\5044.wav,..\dataset\masks\5044.npy
..\dataset\tracks\5045.wav,..\dataset\masks\5045.npy
..\dataset\tracks\5046.wav,..\dataset\masks\5046.npy
..\dataset\tracks\5047.wav,..\dataset\masks\5047.npy
..\dataset\tracks\5048.wav,..\dataset\masks\5048.npy
..\dataset\tracks\5049.wav,..\dataset\masks\5049.npy
..\dataset\tracks\505.wav,..\dataset\masks\505.npy
..\dataset\tracks\5050.wav,..\dataset\masks\5050.npy
..\dataset\tracks\5051.wav,..\dataset\masks\5051.npy
..\dataset\tracks\5052.wav,..\dataset\masks\5052.npy
..\dataset\tracks\5053.wav,..\dataset\masks\5053.npy
..\dataset\tracks\5054.wav,..\dataset\masks\5054.npy
..\dataset\tracks\5055.wav,..\dataset\masks\5055.npy
..\dataset\tracks\5056.wav,..\dataset\masks\5056.npy
..\dataset\tracks\5057.wav,..\dataset\masks\5057.npy
..\dataset\tracks\5058.wav,..\dataset\masks\5058.npy
..\dataset\tracks\5059.wav,..\dataset\masks\5059.npy
..\dataset\tracks\506.wav,..\dataset\masks\506.npy
..\dataset\tracks\5060.wav,..\dataset\masks\5060.npy
..\dataset\tracks\5061.wav,..\dataset\masks\5061.npy
..\dataset\tracks\5062.wav,..\dataset\masks\5062.npy
..\dataset\tracks\5063.wav,..\dataset\masks\5063.npy
..\dataset\tracks\5064.wav,..\dataset\masks\5064.npy
..\dataset\tracks\5065.wav,..\dataset\masks\5065.npy
..\dataset\tracks\5066.wav,..\dataset\masks\5066.npy
..\dataset\tracks\5067.wav,..\dataset\masks\5067.npy
..\dataset\tracks\5068.wav,..\dataset\masks\5068.npy
..\dataset\tracks\5069.wav,..\dataset\masks\5069.npy
..\dataset\tracks\507.wav,..\dataset\masks\507.npy
..\dataset\tracks\5070.wav,..\dataset\masks\5070.npy
